Name,Module Name,Activity Type Name,Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Scheduled Weeks,Allocated Location Name,Planned Size,Real Size,Allocated Staff Name
BUSI1333/Tutorial/01-01 (BABLSCM-4) <19-30>,BUSI1333/Intro to Business Processes/D/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,19-30,QA020,15,15,SA12
BUSI1732/Tutorial/01-13 (BAHRM-501a),BUSI1732/Managing Equality & Diversity/A/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,3-14,QA020,20,19,HRM2

"BUSI1333/Tutorial/01-10 (SB) <3-8, 19-20>",BUSI1333/Intro to Business Processes/D/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,"3-8, 19-20",SL011,30,0,IES9
BUSI1549/Tutorial/01-12 (BABMK-4) <21-30>,BUSI1549/Bus Planning & Develop/D/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,21-30,SL011,20,19,OSP7

"BUSI1549/Lecture/01-2 (BABF-4, BABLSCM-4) <21-30>",BUSI1549/Bus Planning & Develop/D/GM,Lecture,Monday,14:00:00,15:00:00,01:00:00,21-30,QA065 (LT),74,71,IES17
BUSI1604/Skills/01-2 (MAIB-S) <07-14>,BUSI1604/Fdns of Scholarship & Res/A/GM,Skills,Monday,14:00:00,15:00:00,01:00:00,7-14,QA065 (LT),64,61,IES15

BUSI1549/Tutorial/01-06 (BABMK-4) <20>,BUSI1549/Bus Planning & Develop/D/GM,Tutorial,Monday,17:00:00,18:00:00,01:00:00,20,SL010,19,17,IB13
BUSI1620/Tutorial/01-02 <3-14> (BABS-602),BUSI1620/Bus Creation Project/D/GM,Tutorial,Monday,16:00:00,18:00:00,02:00:00,3-14,SL010,18,18,OSP1

"BUSI1549/Tutorial/01-12 (BABMK-4) <03-14, 19-20>",BUSI1549/Bus Planning & Develop/D/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,"3-14, 19-20",QM245,20,19,OSP7
BUSI1710/Tutorial/01-03,BUSI1710/International Business Project/I/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,"34, 36-37, 39-45",QM245,15,15,SA6
BUSI1816/Workshop/01-5 (MAIB-J04) <21-30>,BUSI1816/Global Busi' & Sustainability/B/GM,Workshop,Monday,14:00:00,16:00:00,02:00:00,21-30,QM245,20,27,IES7

BUSI1556/Workshop/01-1 <19-30>,BUSI1556/E-Business/D/GM,Workshop,Monday,11:00:00,12:00:00,01:00:00,19-30,D215 East (Trading Room),28,27,SA13
